YEAR,MO,DY,CLRSKY_SFC_SW_DWN
1984,12,20,7.45
1984,12,21,7.41
1984,12,22,7.5
1984,12,23,7.62
1984,12,24,7.45
1984,12,25,7.55
1984,12,26,7.49
1984,12,27,8.08
1984,12,28,8.03
1984,12,29,8.29
1984,12,30,8.11
1984,12,31,8.28
1985,1,1,8.2
1985,1,2,8.31
1985,1,3,8.29
1985,1,4,8.29
1985,1,5,8.21
1985,1,6,8.2
1985,1,7,8.01
1985,1,8,8.44
1985,1,9,8.33
1985,1,10,8.46
1985,1,11,8.33
1985,1,12,8.17
1985,1,13,8.24
1985,1,14,8.45
1985,1,15,8.33
1985,1,16,8.41
1985,1,17,8.43
1985,1,18,8.32
1985,1,19,8.08
1985,1,20,8.18
1985,1,21,8.27
1985,1,22,8.37
1985,1,23,8.53
1985,1,24,8.25
1985,1,25,8.43
1985,1,26,8.34
1985,1,27,8.48
1985,1,28,8.24
1985,1,29,8.47
1985,1,30,8.41
1985,1,31,8.17
1985,2,1,8.49
1985,2,2,7.96
1985,2,3,7.85
1985,2,4,8.35
1985,2,5,8.43
1985,2,6,8.34
1985,2,7,8.23
1985,2,8,7.55
1985,2,9,7.37
1985,2,10,7.34
1985,2,11,7.03
1985,2,12,7.21
1985,2,13,7.64
1985,2,14,7.86
1985,2,15,7.86
1985,2,16,7.75
1985,2,17,7.37
1985,2,18,7.85
1985,2,19,7.85
1985,2,20,6.9
1985,2,21,7.86
1985,2,22,7.22
1985,2,23,7.39
1985,2,24,7.6
1985,2,25,7.66
1985,2,26,7.62
1985,2,27,7.67
1985,2,28,7.71
1985,3,1,7.6
1985,3,2,7.31
1985,3,3,7.68
1985,3,4,7.5
1985,3,5,7.62
1985,3,6,7.51
1985,3,7,7.78
1985,3,8,7.77
1985,3,9,7.67
1985,3,10,7.71
1985,3,11,7.38
1985,3,12,7.38
1985,3,13,7.47
1985,3,14,7.44
1985,3,15,7.41
1985,3,16,7.3
1985,3,17,7.22
1985,3,18,6.9
1985,3,19,7.55
1985,3,20,7.38
1985,3,21,7.46
1985,3,22,7.4
1985,3,23,7.08
1985,3,24,6.96
1985,3,25,7.32
1985,3,26,7.46
1985,3,27,7.16
1985,3,28,6.76
1985,3,29,7.08
1985,3,30,7.06
1985,3,31,7.2
1985,4,1,7.17
1985,4,2,7.22
1985,4,3,7.2
1985,4,4,7.18
1985,4,5,7.18
1985,4,6,6.96
1985,4,7,7.19
1985,4,8,7.3
1985,4,9,7.27
1985,4,10,7.06
1985,4,11,7.17
1985,4,12,6.53
1985,4,13,7.0
1985,4,14,7.11
1985,4,15,7.07
1985,4,16,6.95
1985,4,17,7.01
1985,4,18,6.69
1985,4,19,6.54
1985,4,20,6.44
1985,4,21,6.31
1985,4,22,6.66
1985,4,23,6.52
1985,4,24,6.48
1985,4,25,6.7
1985,4,26,6.66
1985,4,27,6.57
1985,4,28,6.78
1985,4,29,6.64
1985,4,30,6.54
1985,5,1,6.62
1985,5,2,6.42
1985,5,3,6.28
1985,5,4,6.44
1985,5,5,6.35
1985,5,6,6.04
1985,5,7,6.04
1985,5,8,6.04
1985,5,9,6.0
1985,5,10,6.14
1985,5,11,6.12
1985,5,12,5.97
1985,5,13,6.18
1985,5,14,6.07
1985,5,15,5.93
1985,5,16,6.06
1985,5,17,6.13
1985,5,18,6.04
1985,5,19,6.0
1985,5,20,6.26
1985,5,21,6.08
1985,5,22,6.18
1985,5,23,6.07
1985,5,24,5.9
1985,5,25,6.09
1985,5,26,5.64
1985,5,27,5.85
1985,5,28,5.84
1985,5,29,5.61
1985,5,30,5.91
1985,5,31,5.9
1985,6,1,5.89
1985,6,2,5.74
1985,6,3,5.62
1985,6,4,5.9
1985,6,5,5.79
1985,6,6,5.82
1985,6,7,5.92
1985,6,8,5.74
1985,6,9,5.81
1985,6,10,5.55
1985,6,11,5.81
1985,6,12,5.78
1985,6,13,5.96
1985,6,14,5.92
1985,6,15,5.7
1985,6,16,5.95
1985,6,17,5.76
1985,6,18,5.77
1985,6,19,5.87
1985,6,20,5.69
1985,6,21,5.63
1985,6,22,5.61
1985,6,23,5.79
1985,6,24,5.45
1985,6,25,5.54
1985,6,26,5.75
1985,6,27,5.72
1985,6,28,5.97
1985,6,29,5.87
1985,6,30,5.86
1985,7,1,5.84
1985,7,2,5.73
1985,7,3,5.84
1985,7,4,5.57
1985,7,5,5.76
1985,7,6,5.78
1985,7,7,5.76
1985,7,8,5.72
1985,7,9,5.64
1985,7,10,6.03
1985,7,11,5.89
1985,7,12,5.58
1985,7,13,6.09
1985,7,14,5.88
1985,7,15,5.69
1985,7,16,5.66
1985,7,17,5.64
1985,7,18,5.59
1985,7,19,5.53
1985,7,20,6.05
1985,7,21,6.0
1985,7,22,6.08
1985,7,23,5.72
1985,7,24,5.82
1985,7,25,5.84
1985,7,26,6.05
1985,7,27,5.91
1985,7,28,6.35
1985,7,29,6.22
1985,7,30,6.25
1985,7,31,5.92
1985,8,1,5.72
1985,8,2,5.39
1985,8,3,5.59
1985,8,4,6.35
1985,8,5,5.91
1985,8,6,5.79
1985,8,7,5.92
1985,8,8,6.14
1985,8,9,6.15
1985,8,10,6.1
1985,8,11,5.91
1985,8,12,5.88
1985,8,13,5.89
1985,8,14,5.86
1985,8,15,5.48
1985,8,16,6.0
1985,8,17,6.56
1985,8,18,5.74
1985,8,19,5.88
1985,8,20,5.98
1985,8,21,6.32
1985,8,22,6.23
1985,8,23,6.25
1985,8,24,6.36
1985,8,25,6.23
1985,8,26,6.51
1985,8,27,6.36
1985,8,28,6.56
1985,8,29,6.51
1985,8,30,6.23
1985,8,31,6.8
1985,9,1,6.96
1985,9,2,7.17
1985,9,3,6.95
1985,9,4,6.9
1985,9,5,7.0
1985,9,6,6.96
1985,9,7,7.23
1985,9,8,6.76
1985,9,9,6.9
1985,9,10,7.15
1985,9,11,6.7
1985,9,12,6.65
1985,9,13,6.93
1985,9,14,6.84
1985,9,15,7.2
1985,9,16,7.31
1985,9,17,6.82
1985,9,18,6.89
1985,9,19,7.25
1985,9,20,6.74
1985,9,21,7.44
1985,9,22,7.45
1985,9,23,7.26
1985,9,24,6.94
1985,9,25,7.31
1985,9,26,6.25
1985,9,27,7.35
1985,9,28,7.4
1985,9,29,7.24
1985,9,30,7.15
1985,10,1,7.15
1985,10,2,7.27
1985,10,3,7.05
1985,10,4,7.22
1985,10,5,6.97
1985,10,6,6.88
1985,10,7,7.21
1985,10,8,7.24
1985,10,9,7.32
1985,10,10,7.35
1985,10,11,7.64
1985,10,12,7.74
1985,10,13,7.54
1985,10,14,7.38
1985,10,15,7.48
1985,10,16,7.28
1985,10,17,7.32
1985,10,18,7.74
1985,10,19,7.49
1985,10,20,7.74
1985,10,21,7.57
1985,10,22,7.5
1985,10,23,7.43
1985,10,24,7.35
1985,10,25,7.53
1985,10,26,7.38
1985,10,27,7.92
1985,10,28,7.47
1985,10,29,7.52
1985,10,30,7.43
1985,10,31,7.57
1985,11,1,7.77
1985,11,2,7.39
1985,11,3,7.44
1985,11,4,7.82
1985,11,5,7.5
1985,11,6,7.82
1985,11,7,7.44
1985,11,8,7.47
1985,11,9,7.56
1985,11,10,7.3
1985,11,11,7.42
1985,11,12,7.25
1985,11,13,7.5
1985,11,14,7.69
1985,11,15,7.65
1985,11,16,7.05
1985,11,17,7.79
1985,11,18,7.15
1985,11,19,7.34
1985,11,20,7.49
1985,11,21,7.47
1985,11,22,7.35
1985,11,23,7.18
1985,11,24,7.29
1985,11,25,7.71
1985,11,26,7.64
1985,11,27,7.14
1985,11,28,7.72
1985,11,29,7.39
1985,11,30,7.61
1985,12,1,7.47
1985,12,2,7.55
1985,12,3,7.45
1985,12,4,7.68
1985,12,5,7.42
1985,12,6,7.78
1985,12,7,7.68
1985,12,8,7.44
1985,12,9,7.69
1985,12,10,7.55
1985,12,11,7.59
1985,12,12,7.74
1985,12,13,7.56
1985,12,14,7.27
1985,12,15,7.25
1985,12,16,7.45
1985,12,17,7.6
1985,12,18,7.21
1985,12,19,7.42
1985,12,20,7.5
1985,12,21,7.33
1985,12,22,7.57
1985,12,23,7.44
1985,12,24,7.38
1985,12,25,7.8
1985,12,26,7.5
1985,12,27,7.8
1985,12,28,7.45
1985,12,29,7.31
1985,12,30,7.8
1985,12,31,7.66
1986,1,1,7.69
1986,1,2,7.65
1986,1,3,7.73
1986,1,4,7.5
1986,1,5,7.5
1986,1,6,7.67
1986,1,7,7.65
1986,1,8,7.49
1986,1,9,7.79
1986,1,10,7.69
1986,1,11,7.7
1986,1,12,7.79
1986,1,13,7.47
1986,1,14,7.79
1986,1,15,7.79
1986,1,16,7.74
1986,1,17,7.8
1986,1,18,7.8
1986,1,19,7.78
1986,1,20,7.81
1986,1,21,7.81
1986,1,22,7.56
1986,1,23,7.85
1986,1,24,7.62
1986,1,25,7.34
1986,1,26,7.54
1986,1,27,7.58
1986,1,28,7.69
1986,1,29,7.64
1986,1,30,7.64
1986,1,31,7.64
1986,2,1,7.71
1986,2,2,7.69
1986,2,3,7.91
1986,2,4,7.81
1986,2,5,7.83
1986,2,6,7.74
1986,2,7,7.68
1986,2,8,7.51
1986,2,9,7.79
1986,2,10,7.54
1986,2,11,7.86
1986,2,12,7.93
1986,2,13,7.84
1986,2,14,7.38
1986,2,15,7.71
1986,2,16,7.71
1986,2,17,7.51
1986,2,18,7.74
1986,2,19,7.51
1986,2,20,7.83
1986,2,21,7.8
1986,2,22,7.75
1986,2,23,7.78
1986,2,24,7.57
1986,2,25,7.68
1986,2,26,7.75
1986,2,27,7.74
1986,2,28,7.38
1986,3,1,7.02
1986,3,2,7.49
1986,3,3,7.48
1986,3,4,7.07
1986,3,5,7.61
1986,3,6,7.25
1986,3,7,7.3
1986,3,8,6.72
1986,3,9,7.49
1986,3,10,7.21
1986,3,11,6.94
1986,3,12,6.91
1986,3,13,7.46
1986,3,14,7.48
1986,3,15,7.05
1986,3,16,7.16
1986,3,17,7.45
1986,3,18,7.17
1986,3,19,6.94
1986,3,20,6.82
1986,3,21,7.47
1986,3,22,7.38
1986,3,23,7.37
1986,3,24,7.35
1986,3,25,7.33
1986,3,26,7.31
1986,3,27,7.3
1986,3,28,7.27
1986,3,29,7.26
1986,3,30,7.24
1986,3,31,7.22
1986,4,1,7.33
1986,4,2,7.32
1986,4,3,7.29
1986,4,4,7.32
1986,4,5,7.28
1986,4,6,7.26
1986,4,7,7.23
1986,4,8,7.15
1986,4,9,7.19
1986,4,10,7.16
1986,4,11,6.79
1986,4,12,6.88
1986,4,13,6.91
1986,4,14,6.84
1986,4,15,6.62
1986,4,16,6.67
1986,4,17,7.09
1986,4,18,6.53
1986,4,19,6.83
1986,4,20,6.48
1986,4,21,6.6
1986,4,22,6.15
1986,4,23,6.46
1986,4,24,6.75
1986,4,25,6.6
1986,4,26,6.64
1986,4,27,6.54
1986,4,28,6.57
1986,4,29,6.22
1986,4,30,6.58
1986,5,1,6.45
1986,5,2,6.47
1986,5,3,6.42
1986,5,4,6.11
1986,5,5,6.04
1986,5,6,6.08
1986,5,7,6.13
1986,5,8,6.29
1986,5,9,6.29
1986,5,10,5.92
1986,5,11,6.32
1986,5,12,6.02
1986,5,13,5.84
1986,5,14,5.82
1986,5,15,5.97
1986,5,16,5.99
1986,5,17,6.08
1986,5,18,6.11
1986,5,19,6.02
1986,5,20,5.97
1986,5,21,6.02
1986,5,22,5.86
1986,5,23,5.72
1986,5,24,5.91
1986,5,25,5.76
1986,5,26,5.64
1986,5,27,5.81
1986,5,28,5.73
1986,5,29,5.61
1986,5,30,5.86
1986,5,31,5.74
1986,6,1,5.68
1986,6,2,5.57
1986,6,3,5.72
1986,6,4,5.68
1986,6,5,5.59
1986,6,6,5.83
1986,6,7,5.79
1986,6,8,5.83
1986,6,9,5.71
1986,6,10,5.69
1986,6,11,5.36
1986,6,12,5.67
1986,6,13,5.64
1986,6,14,5.61
1986,6,15,5.62
1986,6,16,5.68
1986,6,17,5.58
1986,6,18,5.67
1986,6,19,5.68
1986,6,20,5.42
1986,6,21,5.67
1986,6,22,5.65
1986,6,23,5.79
1986,6,24,5.52
1986,6,25,5.41
1986,6,26,5.63
1986,6,27,5.61
1986,6,28,5.51
1986,6,29,5.71
1986,6,30,5.74
1986,7,1,5.84
1986,7,2,5.82
1986,7,3,5.66
1986,7,4,5.83
1986,7,5,6.06
1986,7,6,5.6
1986,7,7,5.42
1986,7,8,5.57
1986,7,9,5.77
1986,7,10,5.58
1986,7,11,5.43
1986,7,12,5.3
1986,7,13,5.78
1986,7,14,5.58
1986,7,15,5.4
1986,7,16,5.97
1986,7,17,5.62
1986,7,18,5.66
1986,7,19,5.68
1986,7,20,5.39
1986,7,21,5.63
1986,7,22,5.67
1986,7,23,5.71
1986,7,24,5.61
1986,7,25,5.78
1986,7,26,5.39
1986,7,27,5.51
1986,7,28,5.67
1986,7,29,5.86
1986,7,30,5.81
1986,7,31,5.89
1986,8,1,5.82
1986,8,2,6.18
1986,8,3,5.78
1986,8,4,5.65
1986,8,5,5.97
1986,8,6,6.23
1986,8,7,6.4
1986,8,8,6.46
1986,8,9,6.4
1986,8,10,6.32
1986,8,11,6.46
1986,8,12,6.45
1986,8,13,6.26
1986,8,14,6.4
1986,8,15,6.17
1986,8,16,6.46
1986,8,17,6.19
1986,8,18,6.27
1986,8,19,5.7
1986,8,20,6.23
1986,8,21,5.91
1986,8,22,5.79
1986,8,23,5.75
1986,8,24,6.18
1986,8,25,5.63
1986,8,26,5.49
1986,8,27,6.75
1986,8,28,6.17
1986,8,29,6.17
1986,8,30,6.02
1986,8,31,6.5
1986,9,1,6.79
1986,9,2,6.23
1986,9,3,6.35
1986,9,4,6.01
1986,9,5,6.41
1986,9,6,6.72
1986,9,7,5.91
1986,9,8,6.82
1986,9,9,6.62
1986,9,10,6.64
1986,9,11,6.83
1986,9,12,6.51
1986,9,13,6.78
1986,9,14,6.9
1986,9,15,6.69
1986,9,16,5.77
1986,9,17,6.86
1986,9,18,7.12
1986,9,19,7.35
1986,9,20,6.65
1986,9,21,7.09
1986,9,22,6.76
1986,9,23,6.41
1986,9,24,6.67
1986,9,25,6.75
1986,9,26,7.01
1986,9,27,7.02
1986,9,28,7.42
1986,9,29,7.59
1986,9,30,7.18
1986,10,1,7.14
1986,10,2,7.44
1986,10,3,7.4
1986,10,4,7.69
1986,10,5,7.76
1986,10,6,7.78
1986,10,7,7.75
1986,10,8,7.8
1986,10,9,7.81
1986,10,10,7.8
1986,10,11,7.7
1986,10,12,7.78
1986,10,13,7.64
1986,10,14,7.63
1986,10,15,7.73
1986,10,16,7.78
1986,10,17,7.55
1986,10,18,7.61
1986,10,19,7.61
1986,10,20,7.78
1986,10,21,7.64
1986,10,22,7.66
1986,10,23,7.11
1986,10,24,7.91
1986,10,25,7.56
1986,10,26,7.33
1986,10,27,7.37
1986,10,28,7.2
1986,10,29,7.63
1986,10,30,7.26
1986,10,31,7.8
1986,11,1,7.31
1986,11,2,7.66
1986,11,3,7.83
1986,11,4,7.21
1986,11,5,7.77
1986,11,6,7.59
1986,11,7,7.82
1986,11,8,7.81
1986,11,9,7.37
1986,11,10,7.51
1986,11,11,7.74
1986,11,12,7.85
1986,11,13,7.48
1986,11,14,7.35
1986,11,15,7.62
1986,11,16,7.42
1986,11,17,7.35
1986,11,18,7.55
1986,11,19,7.78
1986,11,20,7.77
1986,11,21,7.62
1986,11,22,7.58
1986,11,23,7.26
1986,11,24,7.68
1986,11,25,7.91
1986,11,26,7.7
1986,11,27,7.69
1986,11,28,7.88
1986,11,29,7.58
1986,11,30,7.59
1986,12,1,7.05
1986,12,2,7.68
1986,12,3,7.96
1986,12,4,7.67
1986,12,5,7.34
1986,12,6,7.33
1986,12,7,7.66
1986,12,8,7.7
1986,12,9,7.63
1986,12,10,7.47
1986,12,11,7.71
1986,12,12,7.35
1986,12,13,7.55
1986,12,14,7.93
1986,12,15,7.94
1986,12,16,7.9
1986,12,17,7.78
1986,12,18,7.77
1986,12,19,7.5
1986,12,20,7.43
1986,12,21,7.45
1986,12,22,7.75
1986,12,23,7.61
1986,12,24,7.57
1986,12,25,7.62
1986,12,26,7.75
1986,12,27,7.75
1986,12,28,7.43
1986,12,29,7.49
1986,12,30,7.42
1986,12,31,7.46
1987,1,1,7.69
1987,1,2,7.72
1987,1,3,7.7
1987,1,4,7.82
1987,1,5,7.36
1987,1,6,7.42
1987,1,7,7.35
1987,1,8,7.68
1987,1,9,7.57
1987,1,10,7.64
1987,1,11,7.63
1987,1,12,7.6
1987,1,13,6.93
1987,1,14,7.75
1987,1,15,7.7
1987,1,16,7.8
1987,1,17,7.8
1987,1,18,7.74
1987,1,19,7.67
1987,1,20,7.71
1987,1,21,7.53
1987,1,22,7.5
1987,1,23,7.5
1987,1,24,7.74
1987,1,25,7.82
1987,1,26,7.82
1987,1,27,7.78
1987,1,28,7.83
1987,1,29,7.45
1987,1,30,7.19
1987,1,31,7.47
1987,2,1,7.33
1987,2,2,7.82
1987,2,3,7.88
1987,2,4,7.85
1987,2,5,7.28
1987,2,6,7.58
1987,2,7,7.39
1987,2,8,7.58
1987,2,9,7.78
1987,2,10,7.1
1987,2,11,7.74
1987,2,12,7.59
1987,2,13,7.35
1987,2,14,6.91
1987,2,15,7.71
1987,2,16,7.7
1987,2,17,7.66
1987,2,18,7.74
1987,2,19,7.19
1987,2,20,7.72
1987,2,21,7.6
1987,2,22,7.31
1987,2,23,7.64
1987,2,24,7.45
1987,2,25,7.65
1987,2,26,7.63
1987,2,27,7.8
1987,2,28,7.79
1987,3,1,7.53
1987,3,2,7.75
1987,3,3,7.24
1987,3,4,7.43
1987,3,5,7.57
1987,3,6,7.6
1987,3,7,7.12
1987,3,8,6.77
1987,3,9,7.07
1987,3,10,7.37
1987,3,11,7.9
1987,3,12,7.61
1987,3,13,7.21
1987,3,14,7.75
1987,3,15,7.43
1987,3,16,7.51
1987,3,17,7.4
1987,3,18,7.13
1987,3,19,7.2
1987,3,20,7.42
1987,3,21,7.47
1987,3,22,7.38
1987,3,23,7.25
1987,3,24,7.03
1987,3,25,7.49
1987,3,26,7.4
1987,3,27,6.93
1987,3,28,7.07
1987,3,29,7.44
1987,3,30,6.93
1987,3,31,6.64
1987,4,1,7.16
1987,4,2,6.8
1987,4,3,6.83
1987,4,4,6.72
1987,4,5,6.72
1987,4,6,7.06
1987,4,7,6.98
1987,4,8,6.66
1987,4,9,6.78
1987,4,10,6.69
1987,4,11,6.58
1987,4,12,6.83
1987,4,13,7.09
1987,4,14,6.63
1987,4,15,6.54
1987,4,16,6.36
1987,4,17,6.66
1987,4,18,6.71
1987,4,19,6.49
1987,4,20,6.39
1987,4,21,6.48
1987,4,22,6.86
1987,4,23,6.78
1987,4,24,6.57
1987,4,25,6.74
1987,4,26,6.36
1987,4,27,6.27
1987,4,28,6.24
1987,4,29,6.08
1987,4,30,5.84
1987,5,1,6.06
1987,5,2,6.19
1987,5,3,6.45
1987,5,4,5.82
1987,5,5,6.44
1987,5,6,5.62
1987,5,7,6.05
1987,5,8,5.75
1987,5,9,5.41
1987,5,10,5.8
1987,5,11,6.27
1987,5,12,6.27
1987,5,13,5.96
1987,5,14,5.77
1987,5,15,5.83
1987,5,16,5.77
1987,5,17,6.0
1987,5,18,6.02
1987,5,19,5.9
1987,5,20,5.89
1987,5,21,5.84
1987,5,22,5.6
1987,5,23,5.7
1987,5,24,5.77
1987,5,25,5.7
1987,5,26,5.49
1987,5,27,5.64
1987,5,28,5.35
1987,5,29,5.74
1987,5,30,5.68
1987,5,31,5.68
1987,6,1,5.77
1987,6,2,5.81
1987,6,3,5.51
1987,6,4,5.7
1987,6,5,5.52
1987,6,6,5.59
1987,6,7,6.01
1987,6,8,5.56
1987,6,9,5.52
1987,6,10,5.81
1987,6,11,5.76
1987,6,12,5.95
1987,6,13,5.84
1987,6,14,5.86
1987,6,15,5.87
1987,6,16,5.87
1987,6,17,5.86
1987,6,18,5.67
1987,6,19,5.79
1987,6,20,5.67
