YEAR,MO,DY,CLRSKY_SFC_SW_DWN
1984,1,1,7.75
1984,1,2,7.55
1984,1,3,7.01
1984,1,4,7.68
1984,1,5,7.7
1984,1,6,7.51
1984,1,7,7.53
1984,1,8,7.41
1984,1,9,7.66
1984,1,10,7.37
1984,1,11,7.44
1984,1,12,7.41
1984,1,13,7.69
1984,1,14,7.48
1984,1,15,7.56
1984,1,16,7.55
1984,1,17,7.7
1984,1,18,7.5
1984,1,19,7.57
1984,1,20,7.16
1984,1,21,7.17
1984,1,22,7.45
1984,1,23,7.58
1984,1,24,7.74
1984,1,25,7.77
1984,1,26,7.66
1984,1,27,7.59
1984,1,28,7.49
1984,1,29,7.74
1984,1,30,7.71
1984,1,31,7.64
1984,2,1,7.72
1984,2,2,7.25
1984,2,3,7.62
1984,2,4,7.06
1984,2,5,7.68
1984,2,6,7.73
1984,2,7,7.68
1984,2,8,7.79
1984,2,9,7.3
1984,2,10,7.11
1984,2,11,7.66
1984,2,12,7.79
1984,2,13,7.67
1984,2,14,7.45
1984,2,15,7.79
1984,2,16,7.53
1984,2,17,7.46
1984,2,18,7.65
1984,2,19,7.6
1984,2,20,7.19
1984,2,21,7.73
1984,2,22,7.66
1984,2,23,7.7
1984,2,24,7.5
1984,2,25,7.29
1984,2,26,7.44
1984,2,27,7.65
1984,2,28,7.64
1984,2,29,7.64
1984,3,1,7.29
1984,3,2,7.45
1984,3,3,6.76
1984,3,4,7.34
1984,3,5,7.64
1984,3,6,6.65
1984,3,7,7.45
1984,3,8,7.61
1984,3,9,7.59
1984,3,10,7.58
1984,3,11,7.57
1984,3,12,7.56
1984,3,13,7.4
1984,3,14,7.33
1984,3,15,7.41
1984,3,16,7.49
1984,3,17,7.49
1984,3,18,7.47
1984,3,19,6.91
1984,3,20,7.24
1984,3,21,7.17
1984,3,22,7.08
1984,3,23,7.3
1984,3,24,6.87
1984,3,25,7.42
1984,3,26,7.01
1984,3,27,7.07
1984,3,28,7.06
1984,3,29,7.22
1984,3,30,7.14
1984,3,31,7.15
1984,4,1,6.79
1984,4,2,6.77
1984,4,3,7.09
1984,4,4,6.94
1984,4,5,6.77
1984,4,6,6.94
1984,4,7,6.84
1984,4,8,6.67
1984,4,9,6.55
1984,4,10,6.67
1984,4,11,6.84
1984,4,12,6.42
1984,4,13,6.72
1984,4,14,6.44
1984,4,15,6.69
1984,4,16,6.84
1984,4,17,6.78
1984,4,18,6.62
1984,4,19,6.56
1984,4,20,6.43
1984,4,21,6.5
1984,4,22,6.44
1984,4,23,6.54
1984,4,24,6.36
1984,4,25,6.19
1984,4,26,6.58
1984,4,27,6.15
1984,4,28,6.36
1984,4,29,6.41
1984,4,30,6.42
1984,5,1,6.41
1984,5,2,6.22
1984,5,3,6.48
1984,5,4,5.85
1984,5,5,6.23
1984,5,6,6.21
1984,5,7,6.41
1984,5,8,6.15
1984,5,9,6.39
1984,5,10,6.19
1984,5,11,6.13
1984,5,12,6.4
1984,5,13,6.2
1984,5,14,6.08
1984,5,15,6.25
1984,5,16,6.26
1984,5,17,6.05
1984,5,18,6.07
1984,5,19,5.97
1984,5,20,5.71
1984,5,21,6.13
1984,5,22,6.13
1984,5,23,6.06
1984,5,24,6.06
1984,5,25,6.17
1984,5,26,6.07
1984,5,27,5.98
1984,5,28,6.02
1984,5,29,6.03
1984,5,30,5.95
1984,5,31,5.91
1984,6,1,5.91
1984,6,2,5.94
1984,6,3,5.98
1984,6,4,5.91
1984,6,5,5.91
1984,6,6,5.88
1984,6,7,5.86
1984,6,8,5.61
1984,6,9,5.85
1984,6,10,5.76
1984,6,11,5.77
1984,6,12,5.86
1984,6,13,5.76
1984,6,14,5.68
1984,6,15,5.69
1984,6,16,5.6
1984,6,17,5.64
1984,6,18,5.61
1984,6,19,5.66
1984,6,20,5.7
1984,6,21,5.74
1984,6,22,5.66
1984,6,23,5.63
1984,6,24,5.63
1984,6,25,5.62
1984,6,26,5.64
1984,6,27,5.68
1984,6,28,5.69
1984,6,29,5.7
1984,6,30,5.78
1984,7,1,5.46
1984,7,2,5.51
1984,7,3,5.5
1984,7,4,5.62
1984,7,5,5.57
1984,7,6,5.62
1984,7,7,5.62
1984,7,8,5.67
1984,7,9,5.63
1984,7,10,5.39
1984,7,11,5.52
1984,7,12,5.7
1984,7,13,5.87
1984,7,14,5.91
1984,7,15,5.88
1984,7,16,5.67
1984,7,17,5.97
1984,7,18,5.65
1984,7,19,5.54
1984,7,20,5.78
1984,7,21,5.92
1984,7,22,5.72
1984,7,23,5.63
1984,7,24,5.71
1984,7,25,5.05
1984,7,26,5.7
1984,7,27,5.73
1984,7,28,5.7
1984,7,29,5.69
1984,7,30,5.76
1984,7,31,5.83
1984,8,1,5.7
1984,8,2,5.74
1984,8,3,5.94
1984,8,4,5.78
1984,8,5,6.06
1984,8,6,6.08
1984,8,7,6.02
1984,8,8,6.1
1984,8,9,5.89
1984,8,10,5.73
1984,8,11,5.74
1984,8,12,5.65
1984,8,13,5.74
1984,8,14,5.97
1984,8,15,5.77
1984,8,16,5.94
1984,8,17,6.35
1984,8,18,6.27
1984,8,19,5.94
1984,8,20,5.86
1984,8,21,6.15
1984,8,22,6.46
1984,8,23,6.43
1984,8,24,5.8
1984,8,25,6.55
1984,8,26,6.56
1984,8,27,6.59
1984,8,28,5.81
1984,8,29,5.91
1984,8,30,6.04
1984,8,31,6.33
1984,9,1,6.41
1984,9,2,6.78
1984,9,3,6.78
1984,9,4,6.76
1984,9,5,7.09
1984,9,6,6.68
1984,9,7,6.22
1984,9,8,7.3
1984,9,9,7.02
1984,9,10,6.6
1984,9,11,6.73
1984,9,12,7.24
1984,9,13,7.2
1984,9,14,7.13
1984,9,15,7.18
1984,9,16,7.24
1984,9,17,7.27
1984,9,18,7.43
1984,9,19,7.41
1984,9,20,7.25
1984,9,21,7.2
1984,9,22,7.4
1984,9,23,7.09
1984,9,24,6.99
1984,9,25,7.56
1984,9,26,7.49
1984,9,27,7.5
1984,9,28,7.38
1984,9,29,7.51
1984,9,30,7.56
1984,10,1,6.88
1984,10,2,7.63
1984,10,3,7.45
1984,10,4,7.38
1984,10,5,7.21
1984,10,6,7.41
1984,10,7,7.43
1984,10,8,7.68
1984,10,9,7.4
1984,10,10,7.5
1984,10,11,7.3
1984,10,12,7.26
1984,10,13,7.47
1984,10,14,7.73
1984,10,15,7.29
1984,10,16,7.57
1984,10,17,7.52
1984,10,18,7.54
1984,10,19,7.77
1984,10,20,7.73
1984,10,21,7.68
1984,10,22,7.54
1984,10,23,7.53
1984,10,24,7.78
1984,10,25,7.48
1984,10,26,7.75
1984,10,27,7.38
1984,10,28,7.85
1984,10,29,7.85
1984,10,30,7.46
1984,10,31,7.8
1984,11,1,7.76
1984,11,2,7.74
1984,11,3,7.73
1984,11,4,7.6
1984,11,5,7.69
1984,11,6,7.75
1984,11,7,7.77
1984,11,8,7.74
1984,11,9,7.8
1984,11,10,7.82
1984,11,11,7.71
1984,11,12,7.81
1984,11,13,7.81
1984,11,14,7.77
1984,11,15,7.78
1984,11,16,7.77
1984,11,17,7.78
1984,11,18,7.78
1984,11,19,7.77
1984,11,20,7.77
1984,11,21,7.77
1984,11,22,7.77
1984,11,23,7.76
1984,11,24,7.76
1984,11,25,7.76
1984,11,26,7.76
1984,11,27,7.58
1984,11,28,7.58
1984,11,29,7.72
1984,11,30,7.66
1984,12,1,7.0
1984,12,2,7.65
1984,12,3,6.99
1984,12,4,7.19
1984,12,5,7.18
1984,12,6,7.28
1984,12,7,7.6
1984,12,8,7.12
1984,12,9,7.48
1984,12,10,6.89
1984,12,11,7.5
1984,12,12,7.7
1984,12,13,7.71
1984,12,14,7.71
1984,12,15,7.71
1984,12,16,7.64
1984,12,17,7.55
1984,12,18,7.27
1984,12,19,7.61
