YEAR,MO,DY,CLRSKY_SFC_SW_DWN
2022,9,9,6.79
2022,9,10,6.67
2022,9,11,6.63
2022,9,12,6.83
2022,9,13,6.85
2022,9,14,6.94
2022,9,15,6.89
2022,9,16,6.88
2022,9,17,6.82
2022,9,18,7.03
2022,9,19,6.95
2022,9,20,6.92
2022,9,21,7.01
2022,9,22,6.91
2022,9,23,7.03
2022,9,24,7.0
2022,9,25,7.07
2022,9,26,6.99
2022,9,27,7.2
2022,9,28,7.18
2022,9,29,6.98
2022,9,30,6.93
2022,10,1,6.94
2022,10,2,7.06
2022,10,3,6.9
2022,10,4,6.98
2022,10,5,6.9
2022,10,6,6.79
2022,10,7,7.04
2022,10,8,6.91
2022,10,9,7.08
2022,10,10,7.0
2022,10,11,7.06
2022,10,12,7.11
2022,10,13,6.99
2022,10,14,7.08
2022,10,15,7.11
2022,10,16,7.19
2022,10,17,7.0
2022,10,18,7.29
2022,10,19,6.96
2022,10,20,7.13
2022,10,21,6.98
2022,10,22,7.27
2022,10,23,7.12
2022,10,24,7.16
2022,10,25,7.13
2022,10,26,7.14
2022,10,27,7.41
2022,10,28,7.3
2022,10,29,7.28
2022,10,30,7.29
2022,10,31,7.23
2022,11,1,7.07
2022,11,2,6.84
2022,11,3,6.99
2022,11,4,7.27
2022,11,5,7.16
2022,11,6,6.94
2022,11,7,7.04
2022,11,8,7.24
2022,11,9,7.3
2022,11,10,7.12
2022,11,11,7.07
2022,11,12,6.9
2022,11,13,6.94
2022,11,14,7.02
2022,11,15,7.24
2022,11,16,7.27
2022,11,17,7.31
2022,11,18,7.31
2022,11,19,7.47
2022,11,20,7.34
2022,11,21,7.29
2022,11,22,7.17
2022,11,23,7.22
2022,11,24,7.12
2022,11,25,7.3
2022,11,26,7.05
2022,11,27,7.11
2022,11,28,7.12
2022,11,29,7.11
2022,11,30,7.31
2022,12,1,7.25
2022,12,2,7.25
2022,12,3,6.92
2022,12,4,6.73
2022,12,5,6.93
2022,12,6,7.05
2022,12,7,7.08
2022,12,8,7.13
2022,12,9,7.22
2022,12,10,7.13
2022,12,11,7.14
2022,12,12,7.09
2022,12,13,7.05
2022,12,14,6.96
2022,12,15,7.06
2022,12,16,7.03
2022,12,17,7.43
2022,12,18,7.43
2022,12,19,7.25
2022,12,20,7.24
2022,12,21,7.32
2022,12,22,7.09
2022,12,23,7.14
2022,12,24,7.44
2022,12,25,7.36
2022,12,26,7.41
2022,12,27,7.44
2022,12,28,7.23
2022,12,29,7.46
2022,12,30,7.48
2022,12,31,7.3
